Count,Tweet,Sentiment
13213,__ __ aliyu htr prophet isa not dead screenshot ahadith daeef,-1
2412,__ abdullah twitt mai bina moble ke tera bhavishya bata sakta hu tere sister banne wali hai aaj sale saab,-1
11977,__ ahmad jahil sirf thanks ley nam ley u ley ye paper uthaya u bad pori speech parchi nh uthai tmahre personal message ki,-1
7367,__ ahsan shame whole pakistan cricket team inse nahi hoga yeh world cup first round se bahar,-1
14108,__ ankush oye mc jail sandas saaf karni karega kya teri sakl,-1
12671,__ ankush tere dusre baap ko tag kara tha mc jhandu land bolne ko kuch,-1
3821,__ ankush tu wahi jhat ka khujli jab khujane jao ese bhagta,-1
12037,__ aur haan bhadwe yeh sun maine vote nahi diya thaa main de hi nahi sakta par sache,-1
7213,__ bhatiya teri maa ka bhosda banaya tha yahi bhul gyi kya madrchod rand kese chilla chilla ka,-1
16315,__ bilal give emoji love love laugh friend blush crush unamused hate smile nice person aby band kro ye chutiyapa rage snoring,-1
3322,__ bilal har koi molana bana hua idr fitwe de raha teri baji nai bhagyi smja,-1
7186,__ bilal har koi molana bana hua idr fitwe de raha teri baji nai bhagyi smja,-1
2858,__ execept mother har larki ki mohabbat halat ke sath hoti hai insan se nahen agar aaaj halat sahe nqhi,-1
3917,__ fir ye bhi afvaah hai ki inko peetne wale hindu hain aur bjp,-1
4836,__ fucking bap not jealous hating care laugh laugh laugh,-1
9393,__ gee love mom scared click lmao,-1
8359,__ green baat srf dance tak ki nahi balki ye kuch log ki jahaliyat ki hai dusre ko pareshan krke,-1
9142,__ haha cant even speel goad write dumy,-1
15417,__ hum apni zameen par hai thank tum log india sy aye thank tum logo ko lat mar ky india bejna,-1
10812,__ jannat aise kisi ko kutta ni bolte,-1
12823,__ jassie seedha sale ja ja ke hamare bare unse ulta sidha bolta hai kamine dekha lena meri,-1
8033,__ khan defnetly fuck hindutva gandu madarxhod abuse karega bhad,-1
5665,__ khiladi baap se ayese baat nahi kerte understand rage rage,-1
7227,__ khiladi style saale salamanics ke nazayaz aulaad laugh laugh laugh,-1
13443,__ king tu nlyk hi rahega thk gya isko sudharte hue sneezing jesa bhi dil ka achha ipl pe dosti ki vja se ye trol,-1
4848,__ love parwah saini tum ho ullu ye batane ki jarurt kya thi,-1
8590,__ mai ni krne wala shaadi knw na laugh dont trust girl swearing laugh laugh,-1
13964,__ maine kisi ko tag nahi kr smjhe application even enough handle guy alone need bheed like,-1
751,__ manish itihaas hume sikhata hai ki hum itihaas se kuch nahi sikhte bjp yeh hi sikhaya hai ki sab purvajo,-1
1055,__ mann feel like everyone love hate thing aggyyy,-1
10739,__ modi tuney itni thukwa lee abhi sharam nahi ayi pappu aur akhilesh ke khuttey chus teri yehi aukat hai sunnat kara lee,-1
3245,__ nah lame shit,-1
7934,__ pakistan team wo gandi aulaad hy jisay na insaan rakh sakta hy na chor sakta hy,-1
14147,__ pakistan yeh hai tum bhakton ki auqat hindutva tum hindu ko namard,-1
14561,__ pooja hehe rahul gandhi ki fati hui langot hone se achha hai modi ka chowkidar hona tu,-1
7705,__ ptang ham kch nahi krna chahty ba yeh chahty hain chowkidar chowkidar rahy malik na bny,-1
846,__ quagmire wo aaj hi ubal raha hai laugh uske darr se gaurav sp chor ke bjp mein aa gaya laugh,-1
1386,__ rashmi ji haan bahut badhiya log best luck rahe hai unka jamana khatam joke laugh laugh,-1
6252,__ rathee i chutiyape ke tu bhi aawaj utha bhai usko shant rhne ko bolne ke bajay,-1
3035,__ ray thora aqal ka istamal kr lain agar koi bacha btamizi krta hai usko tameez seekhai jati hai na uski batmizi ko promote kia,-1
11559,__ rishabh say better jb ek constitutional call ek rapist baba ka support leta usse,-1
1218,__ rishabh tum bhakt itne chutiye kaise ho sakte ho kal ko tumhare ghar jalaane se pe,-1
8205,__ safdar se bhi capt ka khitab wapas lya jai u fauj mukhalif taqreerain ki thi ka bhi court martial hona chaye,-1
16758,__ sarkar ko koi ko nahi raha hai ye fe,-1
545,__ say ha proof toh kbka de diya gya te log ki,-1
2698,__ sharma tum jyse bhagton ki aur na tere modi ki aukat hai asad sahab ke sath khade hone ki,-1
5628,__ sirf awwal shriman flirting ko kala ka darza dilaya,-1
15959,__ tweet abe ganjedi ki aulaad kab ka cross kar diya overseas ganwar,-1
11221,__ tweet salmania report isko iski aukat pata chal jayegi dhabe ka waiter,-1
15839,__ tweet waiter saalo thumari aukaath ba tip lene ki hai malik banne ki nahi din sapne dekhna band karo laugh laugh laugh laugh laugh laugh laugh,-1
10735,__ wa ka clear data mara tha unamused jab bharosa nahi pyar kyu ki thi mujse unamused,-1
8194,__ yasir sab city ky log bachyon ko bahar nikalya sy mana kartya hyan kharab na ho jayan sailkot wo ci,-1
5412,__ ye saary mil hum ko pagal bana rahe hain rch ke bachy laugh laugh laugh,-1
12542,___ obi agye girlthe overrated rapper gh dont listen ghanaian song weak lyric even black good,-1
3853,___ pata nahi kon ja जंगली maal fook kr notification bhezte ye uc waale laugh laugh,-1
8278,___ phr itna dukh nai hoa hoga ham saal sy i season ka wi kr rhy thy inho ny kya keya hamary sth disappointed,-1
4919,___ quote really like argue not type bite tongue shit sit right either,-1
1928,___ scene theatre th june salman khan theatre hugega aur uske chutiye fan khayenge laugh laugh,-1
6870,____ bkwas band kri sallo gashtooo heera ma,-1
13084,_____ hate bloody ekta kapoor dont deserve multitalented actor like harshad pehle khud hc,-1
10621,aaa parha sunna aur dekha howa jo baap apni olaado ko haram maal khilatte hain vo bare ho kr aq,-1
9751,aaaj kal ka piyar bluetooth ki tarah hogaya hai pas rahy connect warna searching new device smile laugh laugh laugh love love love,-1
16734,aab kan bane bali ka bakra aur aage bhi banta rahe baap ko chor bulvaye purwajo ko bejaat karaye,-1
16120,aab lora lo mera mai pichle month se bhokh bhokh ke best luck raha lekin chutiya bhkts manane ko taiyar nahi,-1
11631,aabhas bhai iski haalat thakur jaisi hai khujli lagi par khuja nahi sakta haat main jo nahi hai,-1
